Autore,Titolo,Editore,Genere,Scaffale,ISBN,Copertina,Note
Charles A. Reich,La nuova America,,Storia e politica,3,,,da verificare
,Debussy,,"Arte, musica e fotografia",3,,,autore da verificare
,Ravel,,"Arte, musica e fotografia",4,,,autore da verificare
,I limiti dello sviluppo,Mondadori,Saggistica varia,4,,,MIT - Club di Roma
Sydney Gordon; Ted Allan,Il bisturi e la spada,,Saggistica varia,4,,,editore da verificare
Mario Tobino,Per le antiche scale,Mondadori,Letteratura italiana,4,,,
Jan Myrdal,Rapporto da un villaggio cinese,Einaudi,Saggistica varia,4,,,Nuovo Politecnico
François-André Isambert,Cristianesimo e classe operaia,,Religione e spiritualità,4,,,editore da verificare
Mohandas K. Gandhi,Teoria e pratica della non violenza,Einaudi,Scienza e matematica,4,,,
,Le organizzazioni rivoluzionarie nelle chiese europee,,Storia e politica,4,,,da verificare
Giulio Bedeschi,Centomila gavette di ghiaccio,Mursia,Saggistica varia,4,,,
,L'educazione come pratica della libertà,,Saggistica varia,4,,,autore da verificare
Colin Turnbull,L'africano solitario,,Storia e politica,4,,,editore da verificare
Lorenzo Milani,Lettere alla mamma 1943-1967,Mondadori,Religione e spiritualità,4,,,Oscar Mondadori
Luigi Magnani,Il nipote di Beethoven,Einaudi,"Arte, musica e fotografia",4,,,
Franco Basaglia,L'istituzione negata,Einaudi,Saggistica varia,4,,,Nuovo Politecnico
,Morte e vita di Hector Gallego,,"Biografie, diari e memorie",4,,,da verificare
Frantz Fanon,I dannati della terra,Einaudi,Saggistica varia,4,,,
Natalia Ginzburg,Lessico famigliare,Einaudi,Letteratura italiana,4,,,
Richard Bach,Il gabbiano Jonathan Livingston,Rizzoli,Saggistica varia,4,,,
Oriana Fallaci,Intervista con la storia,Rizzoli,Storia e politica,4,,,
José María Díez-Alegría,Io credo nella speranza,,Religione e spiritualità,4,,,editore da verificare
Mario V. Rossi,I giorni dell'onnipotenza,,Saggistica varia,4,,,editore da verificare
Alberto Ronchey,"Figlioli miei, marxisti immaginari",Rizzoli,Saggistica varia,4,,,
Dietrich Bonhoeffer,Sequela,Queriniana,Religione e spiritualità,4,,,
Ernesto Cardenal,Il Vangelo a Solentiname,Cittadella,Religione e spiritualità,4,,,da verificare
Enzo Biagi,La geografia di Biagi: America,Rizzoli,Storia e politica,4,,,
Enzo Biagi,La geografia di Biagi: Italia,Rizzoli,Storia e politica,4,,,
Enzo Biagi,La geografia di Biagi: Germania,Rizzoli,Storia e politica,4,,,
Albert Speer,Memorie del Terzo Reich,Mondadori,Storia e politica,4,,,da verificare
Augusto Roa Bastos,Figlio di uomo,Feltrinelli,Saggistica varia,4,,,
Michael Pearson,Il treno piombato,,Saggistica varia,4,,,editore da verificare
Pio Baldelli,Informazione e controinformazione,,Saggistica varia,4,,,editore da verificare
Kurt Mendelssohn,L'enigma delle piramidi,Mondadori,Saggistica varia,4,,,Oscar Mondadori
Carlos M. Rama,Le imprese multinazionali nell'America Latina,Mursia,Saggistica varia,5,,,
Geoffrey Marcus,Il viaggio inaugurale del Titanic,Mursia,"Viaggi, montagna ed esplorazioni",5,,,
Enzo Biagi,Disonora il padre,Rizzoli,Storia e politica,5,,,
,(dorso poco leggibile),,Saggistica varia,5,,,da verificare
Jean Ziegler,Una Svizzera al di sopra di ogni sospetto,Mondadori,Saggistica varia,5,,,
Dietrich Bonhoeffer,Creazione e caduta - L'ora della tentazione,Queriniana,Religione e spiritualità,5,,,da verificare
Bruno Perotti,La notte dei cristalli,Mursia,Saggistica varia,5,,,da verificare
Erich Fromm,Avere o essere?,Mondadori,Saggistica varia,5,,,
Primo Levi,Se questo è un uomo,Einaudi,Letteratura italiana,5,,,da verificare
,L'avenir est notre affaire,,Saggistica varia,5,,,autore da verificare
Leif Backlund,Che cos'è il dollaro,Stock,Saggistica varia,5,,,da verificare
Hermann Hesse,Siddharta,Adelphi,Letteratura straniera,5,,,
Ferruccio Parazzoli,Il giro del mondo,,Letteratura italiana,5,,,editore da verificare
William H. Prescott,La conquista del Messico,,"Viaggi, montagna ed esplorazioni",5,,,editore da verificare
João Guimarães Rosa,Grande Sertão,Feltrinelli,Letteratura straniera,5,,,
Carlos Fuentes,La morte di Artemio Cruz,Feltrinelli,Letteratura straniera,5,,,
Ugo Foscolo,Lettera apologetica,Einaudi,Letteratura italiana,5,,,
,(dorso poco leggibile),,Saggistica varia,5,,,da verificare
,Le basi autoritarie della Spagna democratica,,Saggistica varia,5,,,autore da verificare
Carlo Cassola,Il superstite,Rizzoli,Letteratura italiana,5,,,
Enzo Biagi,La geografia di Biagi: Cina,Rizzoli,Storia e politica,5,,,
,Robinson 80,,"Viaggi, montagna ed esplorazioni",5,,,autore da verificare
Jaime de Angulo,Racconti indiani,Mondadori,Saggistica varia,5,,,Oscar Mondadori
Isaac Asimov,Civiltà extraterrestri,Mondadori,Scienza e matematica,5,,,
Domitila Barrios de Chungara,Chiedo la parola. Testimonianza di Domitila,Feltrinelli,Saggistica varia,5,,,da verificare
Vittoria Alliata,Harem,Garzanti,Saggistica varia,5,,,
Milan Kundera,Il libro del riso e dell'oblio,Bompiani,Letteratura straniera,5,,,da verificare
Giovanni Verga,Mastro-don Gesualdo,,Letteratura italiana,5,,,editore da verificare
Giovannino Guareschi,Gente così,Rizzoli,Letteratura italiana,5,,,
Thomas Ferenczi,Le Prince au miroir,Albin Michel,Saggistica varia,5,,,
Giovanni Verga,Tutte le novelle,Mondadori,Letteratura italiana,5,,,da verificare
René Dumont,La croissance... de la famine!,Seuil,Saggistica varia,5,,,da verificare
Bellarmino Bagatti,Alle origini della Chiesa,Libreria Editrice Vaticana,Religione e spiritualità,5,,,
Elisabeth Badinter,L'amore in più,Longanesi,Saggistica varia,5,,,da verificare
Marco Polo,Il Milione,,"Viaggi, montagna ed esplorazioni",5,,,editore da verificare
Piero Ottone,Giornale di bordo,Longanesi,"Viaggi, montagna ed esplorazioni",6,,,
Renato Barneschi,Frau von Weber,Rusconi,Saggistica varia,6,,,
Elsa Morante,Aracoeli,Einaudi,Letteratura italiana,6,,,
Ammann; Barletta,Nella terra degli dei,Dall'Oglio,Saggistica varia,6,,,da verificare
George Orwell,1984,Mondadori,Saggistica varia,6,,,
Natalia Ginzburg,La famiglia Manzoni,Einaudi,Letteratura italiana,6,,,
Gabriel García Márquez,La mala hora,,Letteratura straniera,6,,,editore da verificare
Alberto Bevilacqua,Il curioso delle donne,Mondadori,Letteratura italiana,6,,,
Cesare Marchi,Dante,Rizzoli,Saggistica varia,6,,,
Carl Rogers,Un modo di essere,,Saggistica varia,6,,,editore da verificare
James Cornell,I primi osservatori,Feltrinelli,Saggistica varia,6,,,
Marguerite Yourcenar,Memorie di Adriano,Einaudi,Letteratura straniera,6,,,
Raymond Moody,La vita oltre la vita,Mondadori,Saggistica varia,6,,,da verificare
Jorge Amado,Gabriella garofano e cannella,Editori Riuniti,Letteratura straniera,6,,,
Bertrand Poirot-Delpech,L'été 36,Gallimard,Saggistica varia,6,,,
Giorgio Bocca,Italia anno uno,Garzanti,Storia e politica,6,,,
Ivan Illich,Il genere e il sesso,Mondadori,Saggistica varia,6,,,
Alexander Lowen,Il piacere,Astrolabio,Saggistica varia,6,,,
Isaac Asimov,"Le grandi storie della fantascienza, 12 (1950)",,Scienza e matematica,6,,,editore da verificare
Giancarlo Schizzerotto,Sette secoli di volgare e di dialetto mantovano,Publi-Paolini,Saggistica varia,6,,,
Simone Signoret,Addio Volodia,Mondadori,Saggistica varia,6,,,
D.H. Lawrence,L'amante di Lady Chatterley,Mondadori,Saggistica varia,6,,,da verificare
Anna De Bo Boffino,"Io, uomini",,Saggistica varia,6,,,da verificare
Leon Uris,Exodus,,Saggistica varia,6,,,editore da verificare
,(G. Pasquali? - dorso poco leggibile),,Saggistica varia,6,,,da verificare
Nezami,Leyla e Majnun,Adelphi,Saggistica varia,6,,,da verificare
Wolfgang Hildesheimer,Mozart,Sansoni,"Arte, musica e fotografia",6,,,
Francesca Duranti,La casa sul lago della luna,Rizzoli,Letteratura italiana,6,,,
Gabriel García Márquez,L'amore ai tempi del colera,Mondadori,Letteratura straniera,6,,,
Paulo Coelho,L'Alchimista,Bompiani,Letteratura straniera,7,,,
Gianni Vattimo,Credere di credere,Garzanti,Religione e spiritualità,7,,,
Alfred Einstein,Schubert,,Scienza e matematica,7,,,
Mo Yan,L'uomo che allevava i gatti,Einaudi,Letteratura straniera,7,,,
Alexandra David-Néel,Mistici e maghi del Tibet,Astrolabio,"Viaggi, montagna ed esplorazioni",7,,,
Aldo Sonnino,Racconti chassidici dei nostri tempi,Giuntina,Ebraismo e Israele,7,,,
Elie Wiesel,La notte,Giuntina,Ebraismo e Israele,7,,,
David Flusser,Jesus,Morcelliana,Saggistica varia,7,,,
Dava Sobel,Longitudine,Rizzoli,Saggistica varia,7,,,
Viviane Forrester,L'orrore economico,Ponte alle Grazie,Saggistica varia,7,,,
Simone Weil,Lettera a un religioso,Adelphi,Religione e spiritualità,7,,,
Simon Singh,Fermat's Last Theorem,Fourth Estate,Saggistica varia,7,,,
Eliette Abécassis,Qumran,Tropea,Ebraismo e Israele,7,,,
Paolo De Benedetti,Quale Dio?,Morcelliana,Religione e spiritualità,7,,,
Carmine Di Sante,Responsabilità,Morcelliana,Saggistica varia,7,,,
Amos Luzzatto,Una lettura ebraica del Cantico dei Cantici,Giuntina,Ebraismo e Israele,7,,,
Emanuela Trevisan Semi,Allo specchio dei Falascià,Giuntina,Ebraismo e Israele,7,,,
Alexandra David-Néel,Grand Tibet et Vaste Chine,Plon,"Viaggi, montagna ed esplorazioni",7,,,
Alexandra David-Néel; Lama Yongden,La vie surhumaine de Guésar de Ling,Pocket,"Viaggi, montagna ed esplorazioni",7,,,
Jacques Duquesne,Le Dieu de Jésus,Desclée de Brouwer / Grasset,Saggistica varia,7,,,
Jostein Gaarder,Il viaggio di Elisabet,Longanesi,Saggistica varia,7,,,
André Néher,L'esilio della parola,Marietti 1820,Saggistica varia,7,,,
Franco D'Agostino,Gilgameš,Piemme,Saggistica varia,7,,,
Alessandro Natta,L'altra Resistenza,Einaudi,Storia e politica,7,,,
Elie Wiesel,Il processo di Shamgorod,Giuntina,Ebraismo e Israele,7,,,
,Il mito del Natale,,Saggistica varia,7,,,
Robert Solé,"L'Égypte, passion française",Seuil,Saggistica varia,7,,,
Robert Graves; Raphael Patai,Les mythes hébreux,Fayard,Ebraismo e Israele,7,,,
Alexandra David-Néel,Immortalité et réincarnation,Pocket,"Viaggi, montagna ed esplorazioni",7,,,
El Hassan Bin Talal,Christianity in the Arab World,Arabesque,Saggistica varia,7,,,
Marie Vidal,Le Juif Jésus et le Shabbat,Albin Michel,Ebraismo e Israele,7,,,
Heinrich Harrer,7 ans d'aventures au Tibet,Arthaud,"Viaggi, montagna ed esplorazioni",7,,,
Jean-François Revel; Matthieu Ricard,Il monaco e il filosofo,,Religione e spiritualità,7,,,
Fosco Maraini,Segreto Tibet,Corbaccio,"Viaggi, montagna ed esplorazioni",7,,,
Elisabeth Kübler-Ross,La morte è di vitale importanza,Corbaccio,Saggistica varia,7,,,
Karen Blixen,Capricci del destino,Feltrinelli,Letteratura straniera,7,,,
Marie Vidal,Un Juif nommé Jésus,Albin Michel,Saggistica varia,7,,,
Riccardo Calimani,Gesù ebreo,Mondadori,Ebraismo e Israele,7,,,
Joseph B. Soloveitchik,Riflessioni sull'ebraismo,Giuntina,Ebraismo e Israele,7,,,
Sergio I. Minerbi,Risposta a Sergio Romano,Giuntina,Ebraismo e Israele,7,,,
AA.VV.,Storia d'Italia. Gli ebrei in Italia (vol. I),Einaudi,Ebraismo e Israele,8,,,
AA.VV.,Storia d'Italia. Gli ebrei in Italia (vol. II),Einaudi,Ebraismo e Israele,8,,,
Robert Mawson,La bambina Lazarus,Mondadori,Saggistica varia,8,,,
Claude Baudez; Sydney Becquelin,L'America precolombiana. I Maya,BUR Rizzoli,Saggistica varia,8,,,
P. Lathuilière e altri,Dieu est-il laïque?,Desclée de Brouwer,Saggistica varia,8,,,
Marc-Alain Ouaknin; Dory Rotnemer,Così giovane e già ebreo,Piemme,Ebraismo e Israele,8,,,
Catherine Chalier,Lévinas. L'utopie de l'humain,Albin Michel,Saggistica varia,8,,,
Jean Bottéro; Marc-Alain Ouaknin; Joseph Moingt,La più bella storia di Dio,,Religione e spiritualità,8,,,
Riccardo Calimani,Capitali europee dell'ebraismo tra Ottocento e Novecento,Mondadori,Ebraismo e Israele,8,,,
Sergio Steffenoni,Un sogno etrusco,Il Saggiatore,Saggistica varia,8,,,
Hans Magnus Enzensberger,Il mago dei numeri,Einaudi,Scienza e matematica,8,,,
Ella Maillart,Croisières et caravanes,Payot,"Viaggi, montagna ed esplorazioni",8,,,
Ella Maillart,Des monts célestes aux sables rouges,Payot,"Viaggi, montagna ed esplorazioni",8,,,
David Blatner,Le gioie del π,Garzanti,Saggistica varia,8,,,
Abraham B. Yehoshua,L'amante,Einaudi,Letteratura straniera,8,,,
Abraham B. Yehoshua,Viaggio alla fine del millennio,Einaudi,Letteratura straniera,8,,,
Massimo Baldacci,Il diluvio,Mondadori,Saggistica varia,8,,,
Eric Fuchs,Desiderio e tenerezza,Claudiana,Saggistica varia,8,,,
Egeria,Pellegrinaggio in Terra Santa,,Saggistica varia,8,,,
Karen Armstrong,Gerusalemme,Mondadori,Ebraismo e Israele,8,,,
Mario Brelich,Il navigatore del diluvio,Adelphi,Saggistica varia,8,,,
Guido Vigna,Storia di Mantova,Camunia,Storia e politica,8,,,
James Hillman,L'anima del mondo,,Religione e spiritualità,8,,,
E.P. Sanders,Gesù. La verità storica,Mondadori,Religione e spiritualità,8,,,
Fosco Maraini,"Case, amori, universi",Mondadori,"Viaggi, montagna ed esplorazioni",8,,,
Paul Hoffman,L'uomo che amava solo i numeri,Mondadori,Scienza e matematica,8,,,
Karl Löwith,Spinoza,,Saggistica varia,8,,,
Raimon Panikkar,La pienezza dell'uomo. Una cristofania,Jaca Book,Religione e spiritualità,8,,,
Etty Hillesum,Lettere 1942-1943,Adelphi,Saggistica varia,9,,,
Etty Hillesum,Diario 1941-1943,Adelphi,Saggistica varia,9,,,
Simon Singh,Codici & segreti,Rizzoli,Saggistica varia,9,,,
Dava Sobel,La figlia di Galileo,Rizzoli,Saggistica varia,9,,,
Giampaolo Pansa,Il bambino che guardava le donne,Sperling & Kupfer,Storia e politica,9,,,
Salomon Malka,Jésus rendu aux siens,Albin Michel,Saggistica varia,9,,,
Gabriella Tedeschi,L'ebraismo e la psicologia analitica,Giuntina,Ebraismo e Israele,9,,,
Antonio Baldo,Wandervögel,,Saggistica varia,9,,,
Hal Hellman,Le dispute della scienza,Raffaello Cortina,Scienza e matematica,9,,,
AA.VV.,Il libro tibetano dei morti,TEA,"Viaggi, montagna ed esplorazioni",9,,,
Dava Sobel; William J.H. Andrewes,The Illustrated Longitude,Fourth Estate,Saggistica varia,9,,,
Kim Knott,Induismo,Einaudi,Saggistica varia,9,,,
Alain Elkann,Le mura di Gerusalemme,Bompiani,Ebraismo e Israele,9,,,
Stanislas Dehaene,Il pallino della matematica,Mondadori,Scienza e matematica,9,,,
Diana Preston,"Scott, l'eroe dei ghiacci",,"Viaggi, montagna ed esplorazioni",9,,,
François Le Lionnais,Les nombres remarquables,Hermann,Saggistica varia,9,,,
Alexandra David-Néel,L'Inde où j'ai vécu,Pocket,"Viaggi, montagna ed esplorazioni",9,,,
Amin Maalouf,L'identità,Bompiani,Letteratura straniera,9,,,
André Glucksmann,La troisième mort de Dieu,NiL,Saggistica varia,9,,,
R.K. Narayan,Il Mahābhārata,Guanda,Saggistica varia,9,,,
Christiane Kohl,L'ebreo e la ragazza,,Ebraismo e Israele,9,,,
Milan Kundera,L'identità,Adelphi,Letteratura straniera,9,,,
Apostolos Doxiadis,Zio Petros e la congettura di Goldbach,Bompiani,Scienza e matematica,9,,,
Anna Quilici; Folco Quilici,Amundsen,Piemme,"Viaggi, montagna ed esplorazioni",9,,,
Alberto Pincherle,Vita di sant'Agostino,Laterza,"Biografie, diari e memorie",9,,,
Jean-Claude Carrière,Le vin bourru,Plon,Saggistica varia,9,,,
Amin Maalouf,Il periplo di Baldassarre,Bompiani,Letteratura straniera,9,,,
Amin Maalouf,Les croisades vues par les Arabes,J'ai Lu,Letteratura straniera,9,,,
Pietro Tarallo; Gian Maria Grasselli,Antiche vie del Giubileo,Rizzoli,Letteratura straniera,9,,,
Tahar Ben Jelloun,Creatura di sabbia,Einaudi,Letteratura straniera,9,,,
Fosco Maraini,Gasherbrum IV. La splendida cima,Vivalda,"Viaggi, montagna ed esplorazioni",9,,,
Amos Oz,My Michael,Vintage,Letteratura straniera,9,,,
Emmanuel Anati,Esodo. Tra mito e storia,Edizioni del Centro Camuno,Storia e politica,9,,,
Robert Thurman; Tad Wise,La montagna sacra,,"Viaggi, montagna ed esplorazioni",9,,,
William Dalrymple,In India,,"Viaggi, montagna ed esplorazioni",9,,,
B. Busato,Il cammino della speranza,,Saggistica varia,9,,,su Jürgen Moltmann
Amin Maalouf,Le crociate viste dagli arabi,,Letteratura straniera,9,,,
Tiziano Terzani,Pelle di leopardo,Longanesi,"Viaggi, montagna ed esplorazioni",10,,,
Massimo Baldacci,Prima della Bibbia,Laterza,Religione e spiritualità,10,,,
Vittorio Messori,Dicono che è risorto,SEI,Religione e spiritualità,10,,,
Ernst Kantorowicz,Federico II imperatore,Garzanti,Religione e spiritualità,10,,,
Michael Hesemann,Titulus Crucis,San Paolo,Saggistica varia,10,,,
Selma Lagerlöf,Gerusalemme,Iperborea,Ebraismo e Israele,10,,,
Shifra Horn,Quattro madri,Fazi,Saggistica varia,10,,,
L.C. Mandrelli,Arlette,,Saggistica varia,10,,,
Silvio Tubini,Drio le scartassagne del tempo,,Saggistica varia,10,,,
Maria Bacchi,Cercando Luisa,Giuntina,Saggistica varia,10,,,
Jochen Hemmleb; Larry A. Johnson; Eric R. Simonson,Ghosts of Everest,Pan,"Viaggi, montagna ed esplorazioni",10,,,
Alfred Lansing,Endurance,Carroll & Graf,Saggistica varia,10,,,
Gavin Mortimer,Shackleton & the Antarctic Explorers,Carlton,"Viaggi, montagna ed esplorazioni",10,,,
Alessandro Barbero,L'ultima rosa di Lautrec,Mondadori,Saggistica varia,10,,,
Immanuello Romano,L'inferno e il paradiso,Giuntina,Ebraismo e Israele,10,,,
Fosco Maraini,Ore giapponesi,Corbaccio,"Viaggi, montagna ed esplorazioni",10,,,
Clare Colvin,La musica dei Gonzaga,Corbaccio,"Arte, musica e fotografia",10,,,
Giorgio Montefoschi; Fiamma Nirenstein,"Un solo Dio, tre verità",Mondadori,Letteratura italiana,10,,,
AA.VV.,Cent'anni di racconti dal Giappone,Mondadori,Saggistica varia,10,,,
Tiziano Terzani,Un indovino mi disse,TEA,"Viaggi, montagna ed esplorazioni",10,,,
Tiziano Terzani,In Asia,TEA,"Viaggi, montagna ed esplorazioni",10,,,
Gabriel García Márquez,Dall'Europa e dall'America 1955-1960,Mondadori,Letteratura straniera,10,,,
Luigi Lombardi Vallauri,Nera luce,Le Lettere,Saggistica varia,10,,,
Paulo Coelho,Il cammino di Santiago,Bompiani,Letteratura straniera,10,,,
Emmanuelle-Marie,Un Dio del quotidiano,Àncora,Religione e spiritualità,10,,,
Sergio Romano,I volti della storia,Rizzoli,Storia e politica,10,,,
Giordano Bruno Guerri,Eretico e profeta,Mondadori,Storia e politica,10,,,
Giulio Andreotti,Un gesuita in Cina,Rizzoli,Religione e spiritualità,10,,,
Giovanni Pettinato,Angeli e demoni a Babilonia,Mondadori,Saggistica varia,10,,,
AA.VV.,Qohélet,Adelphi,Saggistica varia,10,,,
Knut Hamsun,Pan,Adelphi,Saggistica varia,11,,,
Roberto Calasso,Ka,Adelphi,Saggistica varia,11,,,
Edgar Morin,I sette saperi necessari all'educazione del futuro,Raffaello Cortina,Filosofia,11,,,
Elena Loewenthal,L'ebraismo spiegato ai miei figli,Bompiani,Ebraismo e Israele,11,,,
Barbara Fiore,Il bosco del guaritore,Bollati Boringhieri,Saggistica varia,11,,,
Arundhati Roy,Il dio delle piccole cose,Guanda,Religione e spiritualità,11,,,
